latitude,longitude,latitude
41.32,-93.56,41.32
43.15,-93.2,43.15
38.81,-85.81,38.81
38.3,-85.96,38.3
38.89,-94.75,38.89
37.01,-88.52,37.01
42.41,-71.15,42.41
42.063774,-71.03136,42.063774
42.068493,-71.625626,42.068493
44.81,-93.31,44.81
46.783,-92.106,46.783
44.47,-94.81,44.47
36.45,-89.92,36.45
35.28,-81.68,35.28
41.68,-96.55,41.68
40.79,-96.63,40.79
41.12,-96.11,41.12
41.309994,-96.06035,41.309994
40.7957,-74.0553,40.7957
33.362,-105.654,33.362
36.0,-83.98,36.0
42.22,-78.27,42.22
40.71,-73.64,40.71
41.82,-74.67,41.82
41.17,-73.96,41.17
43.16,-77.56,43.16
41.15095,-74.19721,41.15095
42.078,-76.02,42.078
40.91,-72.34,40.91
39.26,-84.58,39.26
40.01,-83.11,40.01
45.32,-122.58,45.32
45.354,-122.842,45.354
44.75,-122.94,44.75
39.994,-75.365,39.994
40.05,-76.5,40.05
40.036,-75.514,40.036
40.537315,-79.91175,40.537315
18.42,-66.06,18.42
41.23,-80.5,41.23
41.55,-71.3,41.55
34.872116,-82.28625,34.872116
34.63072,-82.51173,34.63072
44.0449,-103.233,44.0449
38.44,-122.71,38.44
35.91,-86.88,35.91
30.207014,-97.937225,30.207014
32.93,-96.94,32.93
33.154,-97.064,33.154
33.145767,-96.87703,33.145767
29.598364,-95.106544,29.598364
29.79,-95.58,29.79
30.17,-95.44,30.17
28.23,-96.94,28.23
32.932,-96.459,32.932
29.51,-98.68,29.51
30.5844,-97.4156,30.5844
40.75,-111.87,40.75
38.25,-78.53,38.25
37.77,-79.45,37.77
38.46285,-77.46338,38.46285
47.3,-122.28,47.3
45.6036,-122.4779,45.6036
45.71,-122.62,45.71
39.75,-104.5,39.75
41.91,-70.93,41.91
41.37,-73.23,41.37
39.13,-119.74,39.13
35.85,-78.17,35.85
34.5,-117.96,34.5
44.503,-72.219,44.503
33.69,-78.89,33.69
35.05,-85.31,35.05
39.8,-75.68,39.8
33.52,-86.8,33.52
33.53,-82.24,33.53
36.31,-82.35,36.31
30.64,-87.89,30.64
30.6701,-88.1156,30.6701
30.16,-85.66,30.16
49.78,-97.2,49.78
26.668,-80.632,26.668
29.6961,-81.9832,29.6961
29.41,-82.17,29.41
29.803,-82.411,29.803
29.693,-81.445,29.693
29.02,-81.969,29.02
29.2226,-81.449,29.2226
28.7893,-81.7479,28.7893
28.9194,-81.631,28.9194
28.682,-81.886,28.682
28.473,-81.649,28.473
28.635,-82.285,28.635
28.642,-81.5493,28.642
28.09,-81.72,28.09
28.017,-82.234,28.017
27.45,-82.482,27.45
27.3975,-81.94,27.3975
26.087,-80.242,26.087
27.426,-80.402,27.426
25.509,-80.499,25.509
26.462,-81.44,26.462
39.17,-121.11,39.17
37.65,-120.67,37.65
41.55,-73.2333,41.55
39.87,-105.297,39.87
39.639,-104.769,39.639
39.754,-105.016,39.754
39.245,-104.589,39.245
39.993,-104.817,39.993
39.681,-105.496,39.681
39.672,-105.347,39.672
39.562,-105.019,39.562
39.499,-104.776,39.499
39.376,-104.846,39.376
40.035,-105.541,40.035
40.018,-105.404,40.018
39.992,-105.153,39.992
40.148,-105.39,40.148
40.221,-105.369,40.221
39.768,-104.869,39.768
43.50833,-93.35406,43.50833
44.4785,-93.29243,44.4785
45.64292,-92.99275,45.64292
46.21257,-92.83856,46.21257
43.60832,-96.37794,43.60832
43.63734,-95.76991,43.63734
43.63869,-95.11854,43.63869
43.66305,-94.12244,43.66305
43.72716,-92.68137,43.72716
43.95564,-92.20515,43.95564
43.91192,-91.54358,43.91192
46.84679,-96.66814,46.84679
46.49066,-96.29125,46.49066
45.83765,-95.36622,45.83765
45.7131,-94.93145,45.7131
45.39469,-94.02561,45.39469
47.87431,-94.43243,47.87431
47.8544,-92.04811,47.8544
46.68822,-93.95449,46.68822
44.94926,-95.40952,44.94926
44.90608,-93.98643,44.90608
48.57236,-96.91488,48.57236
48.81951,-95.96101,48.81951
48.62768,-94.06709,48.62768
48.60179,-93.37344,48.60179
44.27026,-96.32004,44.27026
44.45889,-96.43523,44.45889
44.54471,-94.99542,44.54471
44.54319,-94.41412,44.54319
44.69162,-95.61401,44.69162
45.61643,-94.02149,45.61643
46.14426,-94.1041,46.14426
45.55822,-96.49392,45.55822
45.48841,-95.56216,45.48841
44.05717,-95.5973,44.05717
43.71933,-91.43675,43.71933
47.60357,-94.12675,47.60357
44.40925,-92.85847,44.40925
45.43236,-94.93237,45.43236
47.27417,-95.93363,47.27417
44.07556,-94.36825,44.07556
