latitude,longitude,latitude
38.98,-76.48,38.98
30.4,-84.35,30.4
35.17,-107.9,35.17
35.66,-109.05,35.66
33.03,-116.92,33.03
39.52,-115.97,39.52
42.82,-108.73,42.82
29.62,-83.1,29.62
34.35,-85.17,34.35
33.23,-107.27,33.23
30.58,-96.37,30.58
38.75,-109.75,38.75
53.32,-60.42,53.32
44.38,-106.72,44.38
42.55,-113.77,42.55
40.5,-107.53,40.5
37.7,-113.1,37.7
34.43,-100.28,34.43
37.3,-108.63,37.3
46.25,-84.47,46.25
39.3,-80.23,39.3
29.98,-90.25,29.98
26.68,-80.12,26.68
48.12,-123.5,48.12
40.03,-88.28,40.03
47.17,-88.5,47.17
28.45,-99.22,28.45
42.9,-106.47,42.9
37.45,-106.8,37.45
35.72,-96.82,35.72
32.03,-96.38,32.03
35.33,-99.2,35.33
41.02,-94.37,41.02
30.36,-95.4,30.36
39.87,-104.67,39.87
34.05,-93.6,34.05
42.42,-83.02,42.42
47.97,-117.41,47.97
41.34,-84.43,41.34
42.78,-105.38,42.78
42.5,-79.28,42.5
45.25,-112.55,45.25
45.62,-121.17,45.62
41.92,-88.25,41.92
32.53,-93.75,32.53
33.2,-97.18,33.2
34.47,-97.96,34.47
30.07,-95.55,30.07
40.05,-107.88,40.05
37.82,-87.68,37.82
33.22,-92.8,33.22
47.03,-120.53,47.03
42.59,-87.94,42.59
40.47,-91.43,40.47
47.3,-119.52,47.3
45.75,-87.03,45.75
31.4,-92.3,31.4
41.28,-111.03,41.28
39.84,-86.28,39.84
44.83,-93.45,44.83
34.3,-98.9,34.3
48.52,-123.02,48.52
43.77,-88.49,43.77
26.07,-80.15,26.07
36.3,-92.47,36.3
26.58,-81.87,26.58
38.95,-95.67,38.95
27.5,-80.37,27.5
32.82,-97.37,32.82
26.2,-80.17,26.2
36.3,-99.77,36.3
35.95,-112.15,35.95
44.5,-107.93,44.5
39.58,-84.2,39.58
47.95,-97.18,47.95
32.35,-94.65,32.35
28.05,-81.75,28.05
41.64,-80.21,41.64
32.67,-97.08,32.67
45.02,-84.69,45.02
35.8,-97.4,35.8
40.97,-98.32,40.97
41.53,-85.78,41.53
35.52,-108.78,35.52
31.31,-89.32,31.31
34.98,-99.05,34.98
46.0,-102.65,46.0
47.38,-92.83,47.38
45.53,-122.95,45.53
35.93,-89.83,35.93
46.6,-112.0,46.6
38.25,-86.95,38.25
29.65,-95.28,29.65
46.97,-123.93,46.97
45.83,-119.25,45.83
41.77,-80.8,41.77
43.1,-78.95,43.1
40.72,-95.03,40.72
43.52,-112.07,43.52
40.52,-101.62,40.52
31.78,-103.2,31.78
41.38,-91.33,41.38
32.83,-115.58,32.83
46.53,-90.13,46.53
42.73,-114.44,42.73
38.07,-102.68,38.07
34.57,-98.42,34.57
29.12,-95.47,29.12
28.82,-81.81,28.82
31.23,-94.75,31.23
38.05,-103.52,38.05
42.15,-121.73,42.15
38.23,-85.67,38.23
34.67,-120.47,34.67
41.35,-82.18,41.35
42.78,-96.2,42.78
43.87,-91.25,43.87
29.53,-95.23,29.53
45.7,-110.45,45.7
44.27,-86.25,44.27
43.53,-84.08,43.53
31.18,-90.47,31.18
40.2,-100.58,40.2
41.78,-87.75,41.78
26.18,-98.23,26.18
45.07,-93.35,45.07
